customer_id,customer_name,email,registration_date,customer_type,city,state,region
1,Anay Magar,jdutta@example.com,2026-01-18,REGULAR,Kavali,Chhattisgarh,West
2,Victor Wali,lnigam@example.com,2024-01-02,PREMIUM,Vellore,Himachal Pradesh,East
3,Manbir Sama,zraman@example.org,2025-03-21,REGULAR,Guwahati,Haryana,North
4,Chavvi Murty,omaharaj@example.com,2025-11-05,REGULAR,Hajipur,Madhya Pradesh,East
5,Arjun Edwin,agarwalabeer@example.net,2024-09-21,VIP,Bathinda,Chhattisgarh,East
6,Yamini Mukherjee,gangamorar@example.net,2025-07-12,VIP,North Dumdum,Arunachal Pradesh,South
7,Urmi Nadig,chadavasudha@example.org,2026-03-12,PREMIUM,New Delhi,Gujarat,East
8,Yachana Bhagat,bobalfarhan@example.net,2026-02-28,REGULAR,Ballia,Tripura,South
9,Ubika Thaker,abhattacharyya@example.com,2024-08-18,PREMIUM,Patiala,Bihar,East
10,Tanveer Bains,sethgunbir@example.org,2025-02-22,PREMIUM,Surendranagar Dudhrej,Himachal Pradesh,South
11,Chameli Dixit,bishakhaviswanathan@example.net,2023-08-13,VIP,Nagaon,Telangana,East
12,Janaki Shroff,libni27@example.net,2026-01-09,VIP,Ongole,Goa,East
13,Warda Chatterjee,naikidika@example.com,2026-04-12,REGULAR,Patiala,Telangana,South
14,Nicholas Choudhry,gdora@example.net,2023-09-18,PREMIUM,Bareilly,Telangana,North
15,Adya Kannan,karpeter@example.net,2024-09-14,VIP,Sasaram,Kerala,South
16,William Khatri,virkyash@example.net,2024-11-12,PREMIUM,Bally,Gujarat,East
17,Chandran Mody,mandaltejas@example.org,2025-06-06,REGULAR,Bulandshahr,Tripura,South
18,Damyanti Rajagopal,omkaar46@example.com,2024-05-20,PREMIUM,Patna,Tripura,West
19,Bhanumati Kashyap,vivaanchopra@example.net,2025-08-03,REGULAR,Dewas,Bihar,East
20,Faris Mahajan,kallawarda@example.com,2025-04-01,REGULAR,Phusro,Himachal Pradesh,East
21,Bachittar Grover,shrofftanveer@example.net,2025-03-10,PREMIUM,Salem,Arunachal Pradesh,West
22,Lopa Kulkarni,nathan45@example.net,2025-08-12,REGULAR,Aurangabad,Punjab,East
23,Ronith Goel,bengirik@example.org,2026-04-15,PREMIUM,Gandhinagar,Odisha,West
24,Krishna Aurora,yamini27@example.net,2025-05-16,VIP,Jalgaon,Odisha,North
25,Maya Ratta,apradhan@example.net,2024-03-03,VIP,Rourkela,Uttar Pradesh,South
26,Anthony Natt,ksavant@example.net,2024-03-13,REGULAR,Vijayanagaram,Arunachal Pradesh,North
27,Guneet Parmar,choudhrygaurav@example.com,2025-02-21,REGULAR,Ratlam,Haryana,West
28,Ekapad Desai,ekalingaamble@example.net,2025-11-03,PREMIUM,Loni,Jharkhand,East
29,Anamika Prabhakar,daminitella@example.net,2024-10-24,VIP,Varanasi,Gujarat,South
30,Keya Baral,misraom@example.net,2024-04-10,REGULAR,Chinsurah,Odisha,West
31,Vanya Pant,reyanshrastogi@example.net,2025-08-30,PREMIUM,Morena,Punjab,West
32,Qadim Ganesan,surjagdish@example.org,2023-10-12,VIP,Sultan Pur Majra,Haryana,South
33,Vansha Kala,zhora@example.com,2025-09-17,PREMIUM,Giridih,Maharashtra,North
34,Wridesh Saraf,dinniharika@example.org,2024-01-10,PREMIUM,Bongaigaon,Mizoram,West
35,Jeevika Mani,mohammed10@example.org,2024-01-09,PREMIUM,Danapur,Punjab,North
36,Dalbir Nagi,jalsa41@example.net,2026-03-01,PREMIUM,Korba,Karnataka,North
37,Arya Ravi,deshpandenirja@example.net,2026-02-01,PREMIUM,Jammu,Goa,East
38,Zayan Handa,ssahni@example.net,2024-10-12,REGULAR,Gaya,Mizoram,East
39,Widisha Upadhyay,abhahegde@example.com,2023-09-13,VIP,Khora ,Arunachal Pradesh,North
40,Hritik Dora,ckade@example.net,2025-09-01,VIP,Nangloi Jat,Meghalaya,West
41,Arunima Raghavan,bbath@example.com,2025-01-22,REGULAR,Ozhukarai,Kerala,North
42,Yash Ray,johalwidisha@example.com,2025-04-09,VIP,Berhampore,Himachal Pradesh,West
43,Vedika Gala,balakrishnanaahana@example.net,2024-09-27,REGULAR,Motihari,Haryana,East
44,Wakeeta Gole,sinhaisaiah@example.com,2025-06-01,VIP,Allahabad,Karnataka,East
45,Owen Chad,yswamy@example.org,2025-01-16,VIP,Narasaraopet,Chhattisgarh,West
46,Ira Naidu,warindernagy@example.net,2026-04-25,PREMIUM,Akola,Rajasthan,West
47,Sathvik Karan,ikshitasarma@example.com,2024-08-23,PREMIUM,Alwar,Rajasthan,East
48,Chandani Srinivasan,labanlal@example.net,2025-09-24,REGULAR,Pali,Telangana,South
49,Yash Bera,vasana35@example.net,2024-11-08,PREMIUM,Latur,Kerala,East
50,Ishita Agate,vvarughese@example.org,2025-02-16,VIP,Dibrugarh,Goa,East
51,Udant Basak,fchandran@example.com,2023-12-08,PREMIUM,Singrauli,Meghalaya,South
52,Yashoda Chahal,svarughese@example.com,2024-02-02,PREMIUM,Delhi,West Bengal,South
53,Kamala Mody,lakshmi85@example.org,2024-08-30,VIP,Hapur,Goa,North
54,Lila Lanka,yashodadesai@example.net,2025-12-26,VIP,Haldia,Andhra Pradesh,South
55,Nitara Mani,niharikavarughese@example.com,2024-08-03,PREMIUM,Mathura,Karnataka,East
56,Nitesh Pal,cvora@example.com,2024-04-15,REGULAR,Rampur,Odisha,East
57,Vrinda Nagi,rattandaksha@example.net,2025-04-07,REGULAR,Ludhiana,Himachal Pradesh,West
58,Patrick Chatterjee,ppatil@example.com,2023-09-02,VIP,Pali,Madhya Pradesh,East
59,Ekiya Vaidya,chatresh93@example.com,2024-05-27,REGULAR,Bally,Tamil Nadu,North
60,Oeshi Sawhney,xbhatti@example.org,2024-12-27,REGULAR,Giridih,Jharkhand,West
61,Jeremiah Hegde,lopa49@example.org,2023-11-29,PREMIUM,Tadepalligudem,Meghalaya,South
62,Rohan Sagar,chameli18@example.com,2025-02-20,VIP,Kishanganj,Assam,East
63,Bishakha Padmanabhan,useth@example.net,2025-10-17,PREMIUM,Ambarnath,Mizoram,South
64,Max Khosla,banikkrisha@example.com,2024-11-07,PREMIUM,Motihari,Goa,West
65,Divya Sundaram,gmishra@example.com,2026-05-30,REGULAR,Amritsar,Rajasthan,North
66,Logan Ganguly,kkuruvilla@example.net,2024-04-10,VIP,Suryapet,Maharashtra,North
67,Falan Natt,mohinigoswami@example.com,2023-12-31,PREMIUM,Mirzapur,Andhra Pradesh,West
68,Christopher Varma,kondakevin@example.org,2025-06-14,REGULAR,Ramagundam,Chhattisgarh,North
69,Caleb Dugar,falgunichada@example.org,2025-08-27,REGULAR,Sultan Pur Majra,Andhra Pradesh,South
70,Chaman Muni,qabil41@example.net,2025-04-06,PREMIUM,Aurangabad,Karnataka,West
71,Elijah Oak,lakshitgrewal@example.com,2024-03-21,VIP,Kanpur,Assam,South
72,Lavanya Vyas,omisha09@example.net,2025-01-25,VIP,Tadepalligudem,Odisha,North
73,Farhan Brahmbhatt,zkulkarni@example.com,2026-05-19,PREMIUM,Bhilwara,Telangana,East
74,Arin Banerjee,meghana20@example.net,2024-08-17,VIP,Kochi,Karnataka,North
75,Raagini Dugar,nimratkaul@example.org,2026-05-30,REGULAR,Bhimavaram,Haryana,North
76,Lavanya Khatri,varsha23@example.org,2025-10-17,REGULAR,Kamarhati,Arunachal Pradesh,North
77,Andrew Kade,vedasaran@example.org,2026-01-05,REGULAR,South Dumdum,Himachal Pradesh,North
78,Amrita Tandon,jalsacontractor@example.com,2023-10-28,VIP,Bahraich,Maharashtra,North
79,Karan Bhargava,etashankar@example.net,2024-06-11,REGULAR,Hapur,Assam,North
80,Luke Dara,sacharvivaan@example.org,2024-02-16,PREMIUM,Hyderabad,Uttarakhand,West
81,Rachit Sridhar,vasudhaviswanathan@example.net,2025-02-07,VIP,Solapur,Uttarakhand,North
82,Rayaan Bhatti,harshil19@example.com,2024-09-26,PREMIUM,Imphal,Gujarat,West
83,Vyanjana Dewan,varenya67@example.org,2025-10-15,REGULAR,Raiganj,Tripura,West
84,Dhriti Arya,dayitakhurana@example.org,2024-09-27,REGULAR,Srinagar,Kerala,East
85,Oscar Sarkar,qushi06@example.org,2026-04-26,VIP,Tinsukia,Tamil Nadu,West
86,Adweta Banik,falgunisethi@example.org,2025-03-21,VIP,Karawal Nagar,Andhra Pradesh,West
87,Nidhi Sur,murthyjai@example.net,2026-04-26,PREMIUM,Unnao,Karnataka,West
88,Hamsini Seth,saumya40@example.net,2025-06-30,PREMIUM,Madanapalle,Uttarakhand,East
89,Ishaan Bhargava,unnatinayar@example.net,2024-03-23,VIP,Raurkela Industrial Township,West Bengal,North
90,Nakul Kapoor,ijaya33@example.net,2026-01-15,PREMIUM,Dharmavaram,Andhra Pradesh,South
91,Neelima Banerjee,ayushmanbhatnagar@example.net,2026-01-29,REGULAR,Sonipat,Uttarakhand,East
92,Meera Mitra,vamakshidatta@example.com,2023-08-07,REGULAR,Gangtok,Odisha,North
93,Gaurang Shetty,rachit51@example.org,2025-01-25,VIP,Moradabad,Punjab,North
94,Max Saini,brahmbhattmaya@example.net,2025-05-07,PREMIUM,Bhilwara,Haryana,East
95,Manan Dhaliwal,mayachaudhry@example.com,2025-08-04,VIP,Rajkot,Mizoram,East
96,Saksham Garde,cmaharaj@example.com,2025-04-16,VIP,Tirunelveli,Rajasthan,North
97,Aishani Patel,amol42@example.com,2025-07-28,REGULAR,Panchkula,Sikkim,West
